,Assessment Name,URL,Description,Assessment Duration,Test Type,Remote Testing Support,Adaptive/IRT Support,Assessment Length,Description Length,combined_data_for_knowledge
0,account manager,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,account manager solution assessment used job candidate applying leadership position tend manage operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available,Approximate Completion Time in minutes = 49,"C, P, A, B, A, B, C, D, E, K, P, S",Yes,Yes,49,54,"['account manager', 'https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/', 'account manager solution assessment used job candidate applying leadership position tend manage operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available', 'Approximate Completion Time in minutes = 49', 'C, P, A, B, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 49, 54, ['account manager', 'https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/', 'account manager solution assessment used job candidate applying leadership position tend manage operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available', 'Approximate Completion Time in minutes = 49', 'C, P, A, B, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 49, 54]]"
1,administrative professional short,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,administrative professional solution entry position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate,Approximate Completion Time in minutes = 36,"A, K, P, A, B, C, D, E, K, P, S",Yes,Yes,36,47,"['administrative professional short', 'https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/', 'administrative professional solution entry position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate', 'Approximate Completion Time in minutes = 36', 'A, K, P, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 36, 47, ['administrative professional short', 'https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/', 'administrative professional solution entry position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate', 'Approximate Completion Time in minutes = 36', 'A, K, P, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 36, 47]]"
2,agency manager,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,agency manager solution sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available,Approximate Completion Time in minutes = 51,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes,51,48,"['agency manager', 'https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/', 'agency manager solution sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available', 'Approximate Completion Time in minutes = 51', 'A, B, P, S, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 51, 48, ['agency manager', 'https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/', 'agency manager solution sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available', 'Approximate Completion Time in minutes = 51', 'A, B, P, S, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 51, 48]]"
3,apprentice job focused assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,apprentice assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed position appropriate country industry use apprenticeship model intended used organisation whose business span across region,Approximate Completion Time in minutes = 30,"B, P, A, B, C, D, E, K, P, S",Yes,No,30,29,"['apprentice job focused assessment', 'https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/', 'apprentice assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed position appropriate country industry use apprenticeship model intended used organisation whose business span across region', 'Approximate Completion Time in minutes = 30', 'B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 30, 29, ['apprentice job focused assessment', 'https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/', 'apprentice assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed position appropriate country industry use apprenticeship model intended used organisation whose business span across region', 'Approximate Completion Time in minutes = 30', 'B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 30, 29]]"
4,apprentice job focused,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,apprentice assessment short targeted globally applicable assessment assessment designed position appropriate country industry use apprenticeship model intended used organization whose business span across region,Approximate Completion Time in minutes = 20,"B, P, A, B, C, D, E, K, P, S",Yes,No,20,24,"['apprentice job focused', 'https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/', 'apprentice assessment short targeted globally applicable assessment assessment designed position appropriate country industry use apprenticeship model intended used organization whose business span across region', 'Approximate Completion Time in minutes = 20', 'B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 20, 24, ['apprentice job focused', 'https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/', 'apprentice assessment short targeted globally applicable assessment assessment designed position appropriate country industry use apprenticeship model intended used organization whose business span across region', 'Approximate Completion Time in minutes = 20', 'B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 20, 24]]"
5,bank administrative assistant short,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,administrative assistant solution clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating project potential job title use solution receptionist administrative assistant multiple configuration solution available,Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No,35,37,"['bank administrative assistant short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/', 'administrative assistant solution clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating project potential job title use solution receptionist administrative assistant multiple configuration solution available', 'Approximate Completion Time in minutes = 35', 'A, B, K, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 35, 37, ['bank administrative assistant short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/', 'administrative assistant solution clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating project potential job title use solution receptionist administrative assistant multiple configuration solution available', 'Approximate Completion Time in minutes = 35', 'A, B, K, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 35, 37]]"
6,bank collection agent short,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,solution collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available,Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No,45,33,"['bank collection agent short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/', 'solution collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available', 'Approximate Completion Time in minutes = 45', 'A, B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 45, 33, ['bank collection agent short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/', 'solution collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available', 'Approximate Completion Time in minutes = 45', 'A, B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 45, 33]]"
7,bank operation supervisor short,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,bank operation supervisor solution job candidate applying leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available,Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes,45,71,"['bank operation supervisor short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/', 'bank operation supervisor solution job candidate applying leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available', 'Approximate Completion Time in minutes = 45', 'A, B, P, S, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 45, 71, ['bank operation supervisor short', 'https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/', 'bank operation supervisor solution job candidate applying leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available', 'Approximate Completion Time in minutes = 45', 'A, B, P, S, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 45, 71]]"
8,bilingual spanish reservation agent,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,bilingual reservation agent solution designed customer centered position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available,Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes,43,52,"['bilingual spanish reservation agent', 'https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/', 'bilingual reservation agent solution designed customer centered position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available', 'Approximate Completion Time in minutes = 43', 'B, P, S, A, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 43, 52, ['bilingual spanish reservation agent', 'https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/', 'bilingual reservation agent solution designed customer centered position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available', 'Approximate Completion Time in minutes = 43', 'B, P, S, A, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 43, 52]]"
9,bookkeeping accounting auditing clerk short,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,bookkeeping accounting auditing clerk solution position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk,Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes,49,48,"['bookkeeping accounting auditing clerk short', 'https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/', 'bookkeeping accounting auditing clerk solution position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk', 'Approximate Completion Time in minutes = 49', 'P, S, K, B, A, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 49, 48, ['bookkeeping accounting auditing clerk short', 'https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/', 'bookkeeping accounting auditing clerk solution position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk', 'Approximate Completion Time in minutes = 49', 'P, S, K, B, A, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 49, 48]]"
10,branch manager short,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,solution mid financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available,Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No,50,41,"['branch manager short', 'https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/', 'solution mid financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available', 'Approximate Completion Time in minutes = 50', 'A, B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 50, 41, ['branch manager short', 'https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/', 'solution mid financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available', 'Approximate Completion Time in minutes = 50', 'A, B, P, A, B, C, D, E, K, P, S', 'Yes', 'No', 50, 41]]"
11,cashier,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,cashier solution retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk multiple configuration version solution available,Approximate Completion Time in minutes = 28,"B, A, P, A, B, C, D, E, K, P, S",Yes,Yes,28,41,"['cashier', 'https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/', 'cashier solution retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk multiple configuration version solution available', 'Approximate Completion Time in minutes = 28', 'B, A, P, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 28, 41, ['cashier', 'https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/', 'cashier solution retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk multiple configuration version solution available', 'Approximate Completion Time in minutes = 28', 'B, A, P, A, B, C, D, E, K, P, S', 'Yes', 'Yes', 28, 41]]"
